Título,Autor,Ano de publicação,Número de páginas
O Caçador de Pipas,Khaled Hosseini,2003,368
Torto Arado,Itamar Vieira Junior,2019,264
1984,George Orwell,1949,328
O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,96
Ensaio sobre a Cegueira,José Saramago,1995,310
Dom Casmurro,Machado de Assis,1899,304
Cem Anos de Solidão,Gabriel García Márquez,1967,417
Crime e Castigo,Fiódor Dostoiévski,1866,545
Sapiens: Uma Breve História da Humanidade,Yuval Noah Harari,2011,464
O Alienista,Machado de Assis,1882,112
